Release Date,Season,Episode,Episode Title,Sentence,Character,word_count
2011-04-17,Season 1,Episode 1,Winter is Coming,Where's the Imp?,arya stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,Will you shut up?,sansa stark,4
2011-04-17,Season 1,Episode 1,Winter is Coming,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",robert baratheon,16
2011-04-17,Season 1,Episode 1,Winter is Coming,Arya.,arya stark,1
2011-04-17,Season 1,Episode 1,Winter is Coming,Ooh. Show us your muscles. You'll be a soldier.,robert baratheon,9
2011-04-17,Season 1,Episode 1,Winter is Coming,That's Jaime Lannister. The queen's twin brother.,arya stark,7
2011-04-17,Season 1,Episode 1,Winter is Coming,Would you please shut up.,sansa stark,5
2011-04-17,Season 1,Episode 1,Winter is Coming,My queen.,eddard stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,My queen.,catelyn stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,Take me to your crypt. I want to pay my respects.,robert baratheon,11
2011-04-17,Season 1,Episode 1,Winter is Coming,"We've been riding for a month, my love. Surely the dead can wait.",cersei lannister,13
2011-04-17,Season 1,Episode 1,Winter is Coming,Ned.,robert baratheon,1
2011-04-17,Season 1,Episode 1,Winter is Coming,Where is our brother? Go find the little beast.,cersei lannister,9
2011-04-17,Season 1,Episode 1,Winter is Coming,Tell me about Jon Arryn.,eddard stark,5
2011-04-17,Season 1,Episode 1,Winter is Coming,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",robert baratheon,19
2011-04-17,Season 1,Episode 1,Winter is Coming,We both did.,eddard stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",robert baratheon,32
2011-04-17,Season 1,Episode 1,Winter is Coming,Aye.,eddard stark,1
2011-04-17,Season 1,Episode 1,Winter is Coming,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",robert baratheon,42
2011-04-17,Season 1,Episode 1,Winter is Coming,I'm not worthy of the honor.,eddard stark,6
2011-04-17,Season 1,Episode 1,Winter is Coming,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",robert baratheon,81
2011-04-17,Season 1,Episode 1,Winter is Coming,Mmh. It is true what they say about the Northern girls.,tyrion lannister,11
2011-04-17,Season 1,Episode 1,Winter is Coming,Did you hear the king's in Winterfell?,ros,7
2011-04-17,Season 1,Episode 1,Winter is Coming,I did hear something about that.,tyrion lannister,6
2011-04-17,Season 1,Episode 1,Winter is Coming,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,ros,20
2011-04-17,Season 1,Episode 1,Winter is Coming,And the other brother?,tyrion lannister,4
